PRICE,PROPERTYSQFT,BEDS,BATH,BATH_PER_BED,BEDS_PER_SQFT,TYPE,LOCALITY
299999,2184.207862,3,1,0.3333333333333333,0.0013734956513035,Pending,Manhattan
2695000,4720.0,6,5,0.8333333333333334,0.0012711864406779,Townhouse for sale,Manhattan
4800000,3958.0,6,2,0.3956434763280729,0.0015159171298635,Pending,Brooklyn
694000,1360.0,3,3,1.0,0.0022058823529411,House for sale,Staten Island
688888,2846.0,4,2,0.5,0.0014054813773717,House for sale,The Bronx
400000,1980.0,4,2,0.5,0.002020202020202,House for sale,Brooklyn
346000,2184.207862,5,2,0.4,0.0022891594188392,Multi-family home for sale,Queens
265000,2184.207862,3,1,0.3333333333333333,0.0013734956513035,House for sale,Queens
319000,1224.0,3,2,0.6666666666666666,0.0024509803921568,House for sale,Staten Island
24800000,2184.207862,6,8,1.3333333333333333,0.002746991302607,Townhouse for sale,Manhattan
1100000,3276.0,9,4,0.4444444444444444,0.0027472527472527,House for sale,Manhattan
309000,2184.207862,6,2,0.3333333333333333,0.002746991302607,Multi-family home for sale,Queens
650000,1522.0,3,2,0.6666666666666666,0.0019710906701708,House for sale,Queens
799000,1975.0,4,2,0.5,0.0020253164556962,House for sale,Staten Island
259000,1089.0,3,2,0.6666666666666666,0.0027548209366391,Co-op for sale,The Bronx
1195000,2704.0,4,4,1.0,0.0014792899408284,House for sale,Staten Island
17500000,5499.0,5,6,1.2,0.0009092562284051,Condo for sale,Manhattan
189000,966.0,2,2,1.0,0.0020703933747412,Condo for sale,Staten Island
759000,1200.0,3,2,0.6666666666666666,0.0025,Condo for sale,Queens
275000,2184.207862,4,1,0.25,0.0018313275350713,House for sale,Brooklyn
499000,630.0,1,1,1.0,0.0015873015873015,Condo for sale,Manhattan
1249000,2184.207862,3,2,0.7912869526561458,0.0013734956513035,House for sale,The Bronx
69900,700.0,2,1,0.5,0.0028571428571428,Co-op for sale,The Bronx
1150000,5508.0,12,6,0.5,0.0021786492374727,Multi-family home for sale,Queens
1749900,3740.0,5,4,0.8,0.0013368983957219,Foreclosure,Manhattan
1399000,1993.0,3,4,1.3333333333333333,0.0015052684395383,Co-op for sale,Queens
649000,1182.0,3,2,0.6666666666666666,0.0025380710659898,Condo for sale,Queens
